scheme_link,details_text,eligibility_text,benefit_text,document,span_text
https://www.myscheme.gov.in/schemes/etsy,"Labor Department of Chhattisgarh State started this scheme ""E-Thela Sahaayata Yojana"" for unorganized worker on 19 June 2017. The main objective of the scheme to empower unorganized worker by providing financial assistance for e-thela.","Registered unorganized labor individuals will need to cover the expenses of ₹ 10,000 for scheme execution.A grant of ₹ 30,000/- will be provided by the Chhattisgarh Unorganized Worker State Social Security Board.The remaining sum will be extended to the Rikshaw/Auto Driver as a bank loan, with the beneficiary responsible for repaying it within a specified timeframe and at the interest rate determined by the bank.The Board will only transfer its contribution to the beneficiary's account once all the necessary loan-related documents are submitted to the board.","BenefitsRegistered unorganized labor individuals will need to cover the expenses of ₹ 10,000 for scheme execution.A grant of ₹ 30,000/- will be provided by the Chhattisgarh Unorganized Worker State Social Security Board.The remaining sum will be extended to the Rikshaw/Auto Driver as a bank loan, with the beneficiary responsible for repaying it within a specified timeframe and at the interest rate determined by the bank.The Board will only transfer its contribution to the beneficiary's account once all the necessary loan-related documents are submitted to the board.",Documents RequiredAadhar card.Permanent Residence Certificate.Copy of ration card.Bank Account Details.Receipt of e-Thela.,E-Thela Sahaayata Yojana
https://www.myscheme.gov.in/schemes/pmkvy-stt,Not Found,Not Found,"BenefitsCounselling:Online Information / Counselling PlatformThrough Counselling HelplineThrough District-level skill information centre Training:Digital ContentTraining in Soft Skills, Entrepreneurship, Financial and Digital LiteracyAdditional SupportAccidental InsuranceOne-time incentive to all certified candidates Boarding and lodging cost support Conveyance cost Post Placement Stipend Additional support to PwD candidates Induction kit and participant handbook Yearly incentive to Training Provider One-time placement travel cost Career progression supportSpecial Incentive for foreign placementsPost Placement Tracking AllowancePlacementPost Training SupportThe scheme will be compatible with the international standards by provisioning  add-on bridge courses and language courses﻿The scheme will be compatible with the international standards by provisioning  add-on bridge courses and language courses.﻿Note:It is mandatory for the candidates to have an Aadhaar ID during the enrolment process. It is also mandatory for the students to maintain 70% attendance to be eligible to appear in the assessments﻿",Documents RequiredAs required for the job role.,Pradhan Mantri Kaushal Vikas Yojana - Short Term Training
https://www.myscheme.gov.in/schemes/icmr-pdf,"ICMR- Post Doctoral Fellowship (ICMR-PDF) Scheme is being instituted to foster high-quality research opportunities for promising fresh Ph.D./MD/MS holders in the cutting-edge areas of basic science, communicable and non-communicable diseases, and reproductive health including nutrition at ICMR Institutes /Centers. Special focus will be on fundamental research in areas of science and other priority areas identified by ICMR from time to time. ICMR intends to offer fifty (50) such fellowships every year for working in ICMR Institutes/Centers with state-of-the-art R&D facilities. These fellowships will be allocated by the Director General, ICMR, depending upon the needs of the ICMR Institute/Centre.","ICMR-PDFs will be paid a consolidated fellowship of ₹65,000/- per month plus House Rent Allowance (HRA) as per Govt. of India rule and Non-Practicing allowance (NPA) as admissible.There is a contingency grant of ₹3,00,000/- per annum.25% of the contingency grant can be used for travel including per diem expenses (only for National travel, related to ICMR-PDF proposed research work only).Note:Fellowship amount will be paid to ICMR institutes/centres every six months including contingency grant.Accommodation and other benefits:Accommodation may be provided by ICMR Institutes/Centers, if available. However, in such cases, HRA will not be paid.ICMR-PDFs will be entitled to medical benefits and leave as per the ICMR rules for JRF/Research Associates.","BenefitsICMR-PDFs will be paid a consolidated fellowship of ₹65,000/- per month plus House Rent Allowance (HRA) as per Govt. of India rule and Non-Practicing allowance (NPA) as admissible.There is a contingency grant of ₹3,00,000/- per annum.25% of the contingency grant can be used for travel including per diem expenses (only for National travel, related to ICMR-PDF proposed research work only).Note: Fellowship amount will be paid to ICMR institutes/centres every six months including contingency grant.Accommodation and other benefits:Accommodation may be provided by ICMR Institutes/Centers, if available. However, in such cases, HRA will not be paid.ICMR-PDFs will be entitled to medical benefits and leave as per the ICMR rules for JRF/Research Associates.","Documents Required1.	Passport-size Photograph2.	Attested copy of School Leaving/ High School/Secondary School Certificate (for date of birth)3.	Attested copies of Mark Sheets/Grade Cards & Degrees4.	Attested copy of the Caste certificate, if applicable5.	Reprints of publications6.	One-page summary of Ph.D. thesis7.	Attested copies of Letter(s) of Acceptance for paper(s) accepted for publication & pre-prints8.	Detailed research proposal9.	Testimonials from two Referees (One should be Ph.D. Guide)10.	Plagiarism Check Report verified by ICMR-RIO",ICMR- Post Doctoral Fellowship
https://www.myscheme.gov.in/schemes/sgassobcaniphsaislecxixii,Not Found,Not Found,"BenefitsValue of Scholarship:Under this scheme, an amount of ₹1000/- per month shall be sanctioned to the eligible students belonging to the OBC category.Payment and Mode of Disbursal of Scholarship:The scholarship shall be payable for a duration of ten months in an academic session.The scholarship shall be admissible only to the passed-out students of the previous academic session. (e.g. A student after passing Class XI/Class XII will be eligible for a scholarship only after he/she completes 1st year of the higher education/professional course )The scholarship amount shall be directly credited to the Aadhaar-linked bank account of the beneficiary by the Department of Social Welfare.The award of a scholarship will depend upon the fund availability in a particular financial year.","Documents RequiredPassport-size photographCertificates of Class X/XII Diploma/Degree etc., in respect of the qualifying examinationCaste certificate signed by an authorized revenue officer, not below the rank of TehsildarNon-creamy Layer Certificate signed by an authorized Revenue Officer, not below the rank of TehsildarIncome CertificateIn case an applicant was in receipt of a scholarship under this scheme in the preceding year, receipt of acknowledgment of the scholarship in the previous yearCopy of marks statement duly counter-signed by the Head of the Institution concerned for renewal of the scholarshipCopy of Aadhaar CardFirst page of bank passbookAny other documents, as required","Scheme for Grant of Additional Scholarship to the Students of Other Backward Classes of Andaman and Nicobar Islands, for Pursuing Higher Studies Anywhere in India after Secondary Level (Except Class XI & XII)"
https://www.myscheme.gov.in/schemes/dacsspostmsebcs,Not Found,Not Found,"BenefitsMaintenance Allowance﻿Group ADegree and Post Graduate level courses including M.Phil., PhD and Post Doctoral research in Medicine (Allopathic, Indian and other recognized systems of medicines), Engineering, Technology, Planning, Architecture, Design, Fashion Technology, Agriculture, Veterinary and Allied Sciences, Management, Business Finance/Administration, Computer Science/Applications.Post Graduate Diploma courses in various branches of management & medicine.C.A./ I.C.W.A./ C.S./ I.C.F.A. etc.M. Phil., Ph.D. and Post-Doctoral Programmes (D.Litt., D.Sc. etc.).L.L.MRate of Maintenance Allowance (₹ per month): Hostellers: 750; Day Scholars: 350.﻿Group BGraduate/Post/Graduate courses leading to Degree, Diploma, Certificate in areas like Pharmacy (B. Pharma), Nursing (B Nursing), LLB, BFS, other para-medial branches like rehabilitation diagnostics etc., Mass Communication, Hotel Management & Catering, Travel/Tourism/Hospitality Management, Interior Decoration, Nutrition & Dietetics, Commercial Art, Financial Services (e.g. Banking, Insurance, Taxation etc.) for which entrance qualification is minimum Sr. Secondary (10+2), except aviation related courses.Post Graduate courses not covered under Group A e.g. MA/M.Sc./M.Com/ M.Ed./M.Pharma etc.Rate of Maintenance Allowance (₹ per month): Hostellers: 510; Day Scholars: 335.﻿Group CAll other courses leading to a graduate degree not covered under Group A & B e.g. BA/B.Sc./B.Com etc.Rate of Maintenance Allowance (₹ per month): Hostellers: 400; Day Scholars: 210.﻿Group DAll post-matriculation level non-degree courses for which entrance qualification is High School (Class X), e.g. senior secondary certificate (class XI and XII); both general and vocational stream, ITI courses, 3-year diploma courses in Polytechnics, etc.Rate of Maintenance Allowance (₹ per month): Hostellers: 260; Day Scholars: 160.﻿NOTE: Scholars who are entitled to free boarding and/or lodging will be paid maintenance chargers at 1/3rd of the hostellers' rate.﻿Reader Charges for Blind Students (Blind Scholars)The blind scholars will be given an additional amount as 'Readers Charges' as mentioned below:Group: A & B; Reader Allowance (₹ per month): 175Group: C; Reader Allowance (₹ per month): 130Group: D; Reader Allowance (₹ per month): 90﻿FeesScholars will be paid enrolment/registration, tuition, games, union, library, magazine, medical examination and such other fees compulsorily payable by the scholar to the institution or University/Board. Refundable deposit-like caution money and security deposit will, however, be excluded.﻿Study ToursStudy tour charges upto a maximum of Rs. 900/- per annum limited to the actual expenditure incurred by the student on transportation charges etc., will be paid to the scholars studying professional and technical courses, provided that the head of the institution certifies that the study tour is essential for the scholar for completion of his/her course of study.﻿Thesis Typing/ Printing ChargesThesis typing/printing charges upto a maximum of Rs. 1000 will be paid to research scholars on the recommendation of the Head of the Institution.﻿Mode of DisbursalIn order to ensure timely payment of scholarship amount to the beneficiaries, the State Government/UT administrations are requested to avoid cash payment of scholarship amount and are required to issue instructions to all concerned that payment of scholarship should be made directly to beneficiaries through their accounts in post offices/banks with phased transition to Smart Cards.﻿Duration of AwardsThe award once made will be tenable from the stage at which it is given to the completion of the course subject to good conduct and regularity in attendance. ﻿Renewal of AwardsIt will be renewed from year to year provided that within a course, which is continuous for a number of years, the scholar secures promotion to the next higher class irrespective of the fact whether such examinations are conducted by a University or the Institution.﻿","Documents RequiredOne copy of the application for the scholarship in the prescribed form (a separate application form may be prescribed by the concerned State Government/UT for a 'fresh' and 'renewal' scholarship).One copy of the passport-size photograph with signatures of the student thereon (for fresh scholarship)One attested copy of each of the certificates/diplomas/degrees etc., with respect of all examinations passedA certificate (in original) of income issued by an authorized Revenue Officer, not below the rank of Tehsildar.A receipt in acknowledgement of the scholarship in the previous year on the form attached to the application only duly countersigned by the Head of the Institution concerned, if the applicant was in receipt of a scholarship under this Scheme in the preceding year.",Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students
https://www.myscheme.gov.in/schemes/sjpfsgc,"Savitribai Jyotirao Phule Fellowship for Single Girl Child (SJSGC) is a Fellowship Scheme by the University Grants Commission (UGC), Department of Higher Education, for pursuing research work leading to the award of a Ph.D. degree. The target group of this scheme are the ‘single girl child’, i.e. the only girl child in the family without having any brother or sister. A girl scholar who is one of the twin daughters/fraternal daughters is also eligible to apply for fellowship under the scheme. The number of slots for the fellowship will be decided every year on the basis of eligible applications complete in all respects, received through online mode.","TENURE OF FELLOWSHIP:﻿The tenure of the fellowship is for five years and will be effective from 1st April of the selection year or the actual date of joining under the fellowship in the University/College/Institute, whichever is later. Fellowship will be granted upto the date of submission of Ph.D. Thesis or 5 years of tenure whichever is earlier. No extension is permissible beyond the total period of five years, and the fellow ceases to be a UGC research fellow immediately after the expiry of the due date.﻿FINANCIAL ASSISTANCE:﻿Fellowship:JRF @ ₹ 31,000/- p.m. for initial two years (subject to satisfactory progress of research work)SRF @ ₹ 35,000/- p.m. for remaining tenure (subject to satisfactory progress of research work)﻿Contingency:For Humanities and Social Sciences: @ ₹ 10,000/- p.a. for the initial two years, @ ₹ 20,500/- p.a. for the remaining tenure.For Science, Engineering, and Technology @ ₹ 12,000/- p.a. for the initial two years, @ ₹ 25,000/- p.a. for the remaining tenure.﻿Escort Reader Assistance:@ ₹ 3,000/- p.m. in the case of ‘Divyang’ scholars.﻿Note:At the end of tenure/termination of fellowship/resignation of scholar, the books, journals, and equipment purchased out of the contingency grant shall become the property of the institution concerned.﻿HRA:(i)  Hostel accommodation may be provided to the scholars by their institutions. In such cases, the scholar is eligible to draw only hostel fees excludingmess, electricity, water charges, etc. In case, a scholar refuses the hostel accommodation, he/she shall not be eligible to draw HRA.﻿(ii) In case of non-availability of hostel accommodation, the scholar may be provided with single accommodation by the host institution. In such cases, the rent paid by the scholar on an actual basis shall be reimbursed, subject to the ceiling of HRA as per Govt. of India norms.﻿(iii) If the scholar makes her own arrangements of accommodation, he/she shall be entitled to draw HRA as per ceiling and categorization of cities by the Govt. of India. In case, the scholar wishes to draw HRA, he/she is required to submit a certificate, in the prescribed format, to her institution.﻿MEDICAL ASSISTANCE:No separate/fixed medical assistance is provided. However, the scholars may avail the medical facilities available in their Institutionsconcerned.﻿LEAVE:(i)Earned Leavefor a maximum period of 30 days in a year in addition to public holidays may be taken by a scholar. However, they are not entitled to any other vacation, such as summer, winter, and pooja vacations, etc.﻿(ii)Maternity/paternity leaveas per the Govt. of India norms issued from time to time shall be available for female scholars at full rates of the fellowship once during the tenure of the fellowship. The period of leave without fellowship, if any, shall be counted towards the tenure.﻿Besides this, an‘Intermittent Break’for a maximum total period of 1 year may also be permissible for women scholars. The break can be availed a maximum of 3 times during the entire period of the fellowship. However, the total duration of the break shall not exceed one year. No fellowship shall be available for the period of such break(s). This period of intermittent breaks shall not be counted towards the tenure of the fellowship, and thus effectively the total period of fellowship shall remain the same.﻿(iii)Academic leave(without fellowship and other emoluments) shall be permissible only for one year throughout the tenure (for any kind of academic/teaching assignment/foreign visit in connection with research work). The period of leave without fellowship will be counted towards the tenure. Expenditure on foreign visits in connection to research work cannot be claimed from UGC.﻿(iv) All kinds of leave shall be availed by the scholar only with due approval of the institution concerned.","BenefitsTENURE OF FELLOWSHIP:﻿The tenure of the fellowship is for five years and will be effective from 1st April of the selection year or the actual date of joining under the fellowship in the University/College/Institute, whichever is later. Fellowship will be granted upto the date of submission of Ph.D. Thesis or 5 years of tenure whichever is earlier. No extension is permissible beyond the total period of five years, and the fellow ceases to be a UGC research fellow immediately after the expiry of the due date.﻿FINANCIAL ASSISTANCE: ﻿Fellowship: JRF @ ₹ 31,000/- p.m. for initial two years (subject to satisfactory progress of research work)SRF @ ₹ 35,000/- p.m. for remaining tenure (subject to satisfactory progress of research work)﻿Contingency: For Humanities and Social Sciences: @ ₹ 10,000/- p.a. for the initial two years, @ ₹ 20,500/- p.a. for the remaining tenure.For Science, Engineering, and Technology @ ₹ 12,000/- p.a. for the initial two years, @ ₹ 25,000/- p.a. for the remaining tenure.﻿Escort Reader Assistance:@ ₹ 3,000/- p.m. in the case of ‘Divyang’ scholars.﻿Note: At the end of tenure/termination of fellowship/resignation of scholar, the books, journals, and equipment purchased out of the contingency grant shall become the property of the institution concerned.﻿HRA: (i)  Hostel accommodation may be provided to the scholars by their institutions. In such cases, the scholar is eligible to draw only hostel fees excluding mess, electricity, water charges, etc. In case, a scholar refuses the hostel accommodation, he/she shall not be eligible to draw HRA. ﻿(ii) In case of non-availability of hostel accommodation, the scholar may be provided with single accommodation by the host institution. In such cases, the rent paid by the scholar on an actual basis shall be reimbursed, subject to the ceiling of HRA as per Govt. of India norms.﻿(iii) If the scholar makes her own arrangements of accommodation, he/she shall be entitled to draw HRA as per ceiling and categorization of cities by the Govt. of India. In case, the scholar wishes to draw HRA, he/she is required to submit a certificate, in the prescribed format, to her institution.﻿MEDICAL ASSISTANCE: No separate/fixed medical assistance is provided. However, the scholars may avail the medical facilities available in their Institutionsconcerned.﻿LEAVE:(i) Earned Leave for a maximum period of 30 days in a year in addition to public holidays may be taken by a scholar. However, they are not entitled to any other vacation, such as summer, winter, and pooja vacations, etc.﻿(ii) Maternity/paternity leave as per the Govt. of India norms issued from time to time shall be available for female scholars at full rates of the fellowship once during the tenure of the fellowship. The period of leave without fellowship, if any, shall be counted towards the tenure.﻿Besides this, an ‘Intermittent Break’ for a maximum total period of 1 year may also be permissible for women scholars. The break can be availed a maximum of 3 times during the entire period of the fellowship. However, the total duration of the break shall not exceed one year. No fellowship shall be available for the period of such break(s). This period of intermittent breaks shall not be counted towards the tenure of the fellowship, and thus effectively the total period of fellowship shall remain the same.﻿(iii) Academic leave (without fellowship and other emoluments) shall be permissible only for one year throughout the tenure (for any kind of academic/teaching assignment/foreign visit in connection with research work). The period of leave without fellowship will be counted towards the tenure. Expenditure on foreign visits in connection to research work cannot be claimed from UGC. ﻿(iv) All kinds of leave shall be availed by the scholar only with due approval of the institution concerned.","Documents RequiredScanned copy of your passport-size photograph and signature (size upto 1MB , format: jpg).Complete Research proposal (size upto 5 MB) and an abstract (size upto 1MB)After filling out the application form, an auto-generated form will be displayed on your screen. Please take the printout of the same, get it signed by the HoD/Registrar and upload the same before the submission of the application form.Proof of being a single girl child has to be submitted from the parents on an affidavit of Rs. 100/- stamp paper duly attested by SDM/First Class Magistrate/Tahsildar as per the prescribed proforma. In case, the parents are not alive, the affidavit can be submitted by the guardian of the Candidate (Size: less than 1MB)",Savitribai Jyotirao Phule Fellowship For Single Girl Child
https://www.myscheme.gov.in/schemes/evtala,"At the initial stage, groups of students from High School upto College level would be arranged to visit the Assam Legislative Assembly during the sessions, in consultation with the Assam Legislative Assembly Sectt. The educational institutions may be identified, to the extent necessary, with input by the respective DCs/Inspectors of Schools, and the students will be selected by the respective Headmasters/Principals. The students may preferably be from related subjects such as Political Science, Economics, etc. within the Arts/Humanities streams in colleges/higher secondary schools and social sciences in secondary schools. The groups of students would have both girls and boys (if the selected institution is co-educational). Each group will be accompanied and guided by one male and one female teacher to be deputed by the respective Headmasters/Principals.","1.	Practical Exposure: Students gain practical experience by visiting the Assam Legislative Assembly and witnessing the legislative sessions, debates, and bill discussions.2.	Interaction: Students have the opportunity to interact with dignitaries such as the Hon'ble Speaker, Chief Minister, Ministers, MLAs, and senior officials.3.	Understanding of Governance: The scheme helps students understand the functioning of the State Legislative Assembly and the legislative process.﻿","Benefits1.	Practical Exposure: Students gain practical experience by visiting the Assam Legislative Assembly and witnessing the legislative sessions, debates, and bill discussions.2.	Interaction: Students have the opportunity to interact with dignitaries such as the Hon'ble Speaker, Chief Minister, Ministers, MLAs, and senior officials.3.	Understanding of Governance: The scheme helps students understand the functioning of the State Legislative Assembly and the legislative process.﻿","Documents Required1.	Identity cards of participating students.2.	List of participating students provided to the Assembly Secretariat for the issuance of passes.3.	Brief write-up (not exceeding one page per student) summarizing their experience and feedback within a week.﻿",Exposure Visits To The Assam Legislative Assembly
https://www.myscheme.gov.in/schemes/mip,"(MANAGE is an Autonomous Organization of the Ministry of Agriculture & Farmers Welfare, Govt. of India)","StipendFor 3 months Internship Programme₹ 10,000/- per month with free boarding and lodging.For 6 months Internship Programme₹ 35,000/- per month.","BenefitsStipendFor 3 months Internship Programme₹ 10,000/- per month with free boarding and lodging.For 6 months Internship Programme₹ 35,000/- per month.",Documents RequiredCurriculum Vitae (CV)Motivation LetterRecommendation Letter (from the Head of the Department/ Chairman of the Advisory Committee),MANAGE Internship Programme
https://www.myscheme.gov.in/schemes/csmsu,"Coaching schemes for students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities are implemented to provide them with equal opportunities and support in pursuing higher education. These schemes aim to bridge the educational gap and enhance the competitiveness of these students.","The institutions can apply for one or more components of the scheme according to the number of enrolment of Scheduled Castes, Scheduled Tribes, OBC (Non-Creamy Layer), and Minorities Communities Students. If, the number of students in a particular class is more, additional section(s) may be included.  Financial assistance is available for the following items:﻿Non-recurring items: A “one-time” grant up to Rs. 5.0 lakhs for each scheme during the XII Plan period for the following items:1. Books and Journals2. Audio-visual and teaching/ learning aid material3. Computers with Printer4. Photocopier5. Generator or Inverter﻿Recurring Items: Rs.7.00 lakhs for universities for each scheme per annum for expenditure on the following items:1. Honorarium to the Coordinator of the schemes @Rs. 2000/- per month2. Remuneration to teachers and scholars*3. Part-time staff with computer knowledge (on a contract basis) @ 6,000/- p.m.4. Part-time Peon/Attendant.@ Rs.1000/- p.m5. Contingency - Rs 50,000/- per annum﻿Remuneration at the rate of Rs. 300/- per hour per subject to the teachers and Rs.200 /- per hour to postgraduate students/ Research Scholars could be paid for theory classes and Rs.150/-per hour respectively for practicals. Generally, a faculty member should not teach for more than 2 hours a day.  However, in exceptional cases where an eminent educationist is invited for a Special lecture, the remuneration @ Rs.500/- per hour and admissible T.A. could be paid with the approval of the Head of the Institution. The payment of remuneration to the participating teachers, PG students, and research scholars may be paid regularly every month without waiting for the pending grant from the UGC.The final amount of grant to be allocated would depend upon the number of schemes, the number of students enrolled for the schemes in the proposal, and the decision of the Committee appointed for serving the applicants for these schemes.","BenefitsThe institutions can apply for one or more components of the scheme according to the number of enrolment of Scheduled Castes, Scheduled Tribes, OBC (Non-Creamy Layer), and Minorities Communities Students. If, the number of students in a particular class is more, additional section(s) may be included.  Financial assistance is available for the following items: ﻿Non-recurring items: A “one-time” grant up to Rs. 5.0 lakhs for each scheme during the XII Plan period for the following items: 1. Books and Journals 2. Audio-visual and teaching/ learning aid material 3. Computers with Printer 4. Photocopier 5. Generator or Inverter ﻿Recurring Items: Rs.7.00 lakhs for universities for each scheme per annum for expenditure on the following items: 1. Honorarium to the Coordinator of the schemes @Rs. 2000/- per month  2. Remuneration to teachers and scholars* 3. Part-time staff with computer knowledge (on a contract basis) @ 6,000/- p.m.  4. Part-time Peon/Attendant.@ Rs.1000/- p.m 5. Contingency - Rs 50,000/- per annum  ﻿Remuneration at the rate of Rs. 300/- per hour per subject to the teachers and Rs.200 /- per hour to postgraduate students/ Research Scholars could be paid for theory classes and Rs.150/-per hour respectively for practicals. Generally, a faculty member should not teach for more than 2 hours a day.  However, in exceptional cases where an eminent educationist is invited for a Special lecture, the remuneration @ Rs.500/- per hour and admissible T.A. could be paid with the approval of the Head of the Institution. The payment of remuneration to the participating teachers, PG students, and research scholars may be paid regularly every month without waiting for the pending grant from the UGC. The final amount of grant to be allocated would depend upon the number of schemes, the number of students enrolled for the schemes in the proposal, and the decision of the Committee appointed for serving the applicants for these schemes.",Documents RequiredAadhaar cardCaste/Community Certificate:Academic Transcripts or Mark SheetsBank Account Details,Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities
https://www.myscheme.gov.in/schemes/sak-dip,"Saksham is a Scholarship Scheme by the Ministry of Education, implemented by AICTE, aimed at providing encouragement and support to specially-abled children to pursue technical education. This is an attempt to give every young student, who is otherwise specially abled, the opportunity to study further and prepare for a successful future through technical education/ knowledge. ₹50,000/- per annum for every year of study i.e. maximum 3 years for the first year admitted students and maximum 2 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc. The candidate should be admitted to the First year of the Diploma level course OR the Second year of the Diploma level course through lateral entry in any of the AICTE-approved institutions of the respective year. Family income from all sources should not be more than Rs. 8 lakh per annum during the current financial year.","₹50,000/- per annum for every year of study i.e. maximum 3 years for the first year admitted students and maximum 2 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc.After selection, the awardee will be paid a scholarship through DBT mode on annual basis.The scholarship will be renewed for the next year of study on receipt of renewal through National Scholarship Portal by submitting a passing certificate/ mark sheet along with a letter from the Head of the Institution on the online portal","Benefits₹50,000/- per annum for every year of study i.e. maximum 3 years for the first year admitted students and maximum 2 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc.After selection, the awardee will be paid a scholarship through DBT mode on annual basis.The scholarship will be renewed for the next year of study on receipt of renewal through National Scholarship Portal by submitting a passing certificate/ mark sheet along with a letter from the Head of the Institution on the online portal","Documents RequiredAadhaarCopy of SSC/10th certificate & mark sheet,Copy of HSC/12th certificate (In case of Degree level) & mark sheet.Copy of ITI certificate (In case of Lateral Entry for Diploma level) & mark sheet.Copy of Diploma certificate (In case of Lateral Entry for Degree level) & mark sheet.Category Certificate, if applicable.Study/ Bonafide Certificate (Appendix-I).Annual Family Income Certificate (Appendix-II).Promotion Certificate in case of renewal (Appendix-III).",AICTE � Saksham Scholarship Scheme For Specially-Abled Student (Diploma)
https://www.myscheme.gov.in/schemes/jrfrafn,INTRODUCTION,"NATURE OF ASSISTANCEThe number of slots available under the scheme is 20 for Junior Research Fellowship (JRF) and 7 for Research Associateship (RA).The tenure of these awards is four years (Non-extendable) for both JRF and RA.﻿Financial Assistance for JRF -Fellowship@ Rs. 12,000/-p.m. for an initial period of two years.@ Rs. 14,000/-p.m. for the remaining period subject to the recommendation for enhancement/extension by a three-member committee and the Commission’s approval for  Sciences for initial two years.Contingency -@ Rs.12,000/-p.a. for Science@ Rs.10,000/-p.a. for Humanities and Social Sciences@ Rs.25,000/-p.a. for the remaining period for Sciences@ Rs.20,500/-p.a. for the remaining period for HumanitiesDepartment@ Rs. 3,000/-p.a. -- per JRF AssistanceEscort@ Rs. 2,000/-p.a. -- per JRFHandicapped AllowanceHRAas per the rule of the concerned institution﻿Financial Assistance for RA -Fellowship@ Rs. 16,000/-p.m. (Fixed) for 4 yearsContingency@ Rs. 30,000/-p.a.Departmental@ 10% of Associateship to the host institution for providing Assistant infrastructural facilities.HRAas per the rule of the concerned institution.﻿*****﻿HRA(i)   Suitable single-seated hostel accommodation in the institutions may be provided to the JRF, failing which HRA as per rules of the university/institution will be paid to the Fellow subject to the submission of the HRA certificate through Registrar/Principal.(ii)  JRF/RA provided with accommodation in a hostel recognized/maintained by the institutions may be reimbursed the hostel fee, excluding mess, electricity, water charges, etc.(iii)   A certificate to this effect is to be furnished through the Registrar/Principal (Annexure I).(iv)   If JRF/RA makes his/her own arrangements of accommodation, he/she may be entitled to draw HRA as per the categorization of cities by the Government of India.(v)   The Fellow will submit a certificate for this purpose to UGC for claiming HRA through the concerned university/institution/college.﻿MedicalNo separate/fixed medical assistance is provided. However, the JRF/RA may avail of the medical facilities available in the institutions/university.﻿Leave(i)   Leave for a maximum period of 30 days in a year in addition to public holidays may be taken by a fellow with the approval of the supervisor. However, they are not entitled to any other vacations, for example, summer, winter, and pooja vacations. Women awardees are eligible for maternity leave at full rates of the fellowships for 135 days as per Government of India rules once during the tenure of their award.(ii)   The awardee may in special cases be allowed by the Commission leave without fellowship/associateship and contingency for a period not exceeding three months during the tenure of the award on the recommendation of the supervisor/Head of the department of the institution concerned. The period of leave without fellowship/associateship will be counted towards the tenure.","BenefitsNATURE OF ASSISTANCEThe number of slots available under the scheme is 20 for Junior Research Fellowship (JRF) and 7 for Research Associateship (RA).The tenure of these awards is four years (Non-extendable) for both JRF and RA.﻿Financial Assistance for JRF -  Fellowship @ Rs. 12,000/-p.m. for an initial period of two years.@ Rs. 14,000/-p.m. for the remaining period subject to the recommendation for enhancement/extension by a three-member committee and the Commission’s approval for  Sciences for initial two years.Contingency - @ Rs.12,000/-p.a. for Science @ Rs.10,000/-p.a. for Humanities and Social Sciences @ Rs.25,000/-p.a. for the remaining period for Sciences @ Rs.20,500/-p.a. for the remaining period for Humanities Department @ Rs. 3,000/-p.a. -- per JRF Assistance Escort @ Rs. 2,000/-p.a. -- per JRF Handicapped Allowance HRA as per the rule of the concerned institution ﻿Financial Assistance for RA - Fellowship @ Rs. 16,000/-p.m. (Fixed) for 4 years Contingency @ Rs. 30,000/-p.a. Departmental @ 10% of Associateship to the host institution for providing Assistant infrastructural facilities. HRA as per the rule of the concerned institution.﻿*****﻿HRA(i)   Suitable single-seated hostel accommodation in the institutions may be provided to the JRF, failing which HRA as per rules of the university/institution will be paid to the Fellow subject to the submission of the HRA certificate through Registrar/Principal. (ii)  JRF/RA provided with accommodation in a hostel recognized/maintained by the institutions may be reimbursed the hostel fee, excluding mess, electricity, water charges, etc. (iii)   A certificate to this effect is to be furnished through the Registrar/Principal (Annexure I). (iv)   If JRF/RA makes his/her own arrangements of accommodation, he/she may be entitled to draw HRA as per the categorization of cities by the Government of India. (v)   The Fellow will submit a certificate for this purpose to UGC for claiming HRA through the concerned university/institution/college. ﻿MedicalNo separate/fixed medical assistance is provided. However, the JRF/RA may avail of the medical facilities available in the institutions/university. ﻿Leave (i)   Leave for a maximum period of 30 days in a year in addition to public holidays may be taken by a fellow with the approval of the supervisor. However, they are not entitled to any other vacations, for example, summer, winter, and pooja vacations. Women awardees are eligible for maternity leave at full rates of the fellowships for 135 days as per Government of India rules once during the tenure of their award. (ii)   The awardee may in special cases be allowed by the Commission leave without fellowship/associateship and contingency for a period not exceeding three months during the tenure of the award on the recommendation of the supervisor/Head of the department of the institution concerned. The period of leave without fellowship/associateship will be counted towards the tenure.",Documents RequiredProof of NationalityProof of IdentityProof of AgeProof of AddressProof reg. the Educational Qualifications,Junior Research Fellowship (JRF) And Research Associateship (RA) For Foreign Nationals
