scheme_link,details_text,eligibility_text
https://www.myscheme.gov.in/schemes/airavata,"This scheme envisages partnership with corporate aggregators like OLA and UBER to facilitate self-employment of rural youth through Radio Taxi and other successful cab transport ventures. Rural youth from SC/ST communities will be provided training, mentoring and other financial assistance to ensure secure and enhanced livelihoods. A subsidy of Rs. 5,00,000 will be offered to beneficiary to purchase a light motor vehicle through which not only will the beneficiary generate revenue but also it reduces the burden of EMI on the beneficiary.",Beneficiary: Unemployed youthThe beneficiaries will get up to rupees 5 lakh subsidy and financial help from the government side.The Karnataka government will cover around 1000 SC/ST Taxi drivers and this Airavata scheme.When other state social welfare department dr. Bhimrao Ambedkar Development Corporation can work together with the government to provide the full benefit of the SC-ST community.This will help people to become self-dependent and provide the opportunity of employment.Due to covid-19 who have lost their jobs can now become an entrepreneur.Karnataka Airavata Taxi scheme uh uh often the opportunity of self-employment for poor peoples.The government will invest around 225 crore rupees in this Yojana.The Madiga and its related community in Karnataka will be able to make their life more secure.The beneficiaries will get a 50% subsidy on the scheme.The remaining money should be arranged by the applicants.
https://www.myscheme.gov.in/schemes/nsap-ignoaps,"The scheme ""Indira Gandhi National Old Age Pension Scheme (IGNOAPS)"" is one of the five sub-schemes of the National Social Assistance Programme (NSAP). Under IGNOAPS, citizens living Below Poverty Line and 60 years or above in age are eligible to apply. A monthly pension of ₹ 200 up to 79 years and ₹ 500 thereafter.",A monthly pension of ₹ 200 up to 79 years and ₹ 500 thereafter.
https://www.myscheme.gov.in/schemes/jjoaps,"Launched on 1st April 2020, “Jai Johar (Old Age Pension)” is a Social Security Scheme by the Tribal Development Department, Government of West Bengal. The scheme is aimed at the Scheduled Tribe (ST) residents of West Bengal of the age of 60 years and above who do not receive any other pension from any other authority. Over 3,00,000 beneficiaries have been brought under the fold of the scheme. The amount of monthly pension of ₹ 1,000/- is transferred directly to the individual bank account of the beneficiary.","A monthly pension of ₹1,000/- is transferred directly to the individual bank account of the beneficiary."
https://www.myscheme.gov.in/schemes/ignoaps-sikkim,"The scheme “Indira Gandhi National Old Age Pension Scheme (IGNOAPS)” was started by the Department of Women & Child Welfare, Govt. of Sikkim in 2014. Under this scheme, a pension is provided to elderly citizens above the age of 60 years belonging to the Below Poverty Line (BPL) category and the beneficiary will receive a monthly pension of ₹ 1500/-, ₹ 2000/- & ₹ 2500/- as per eligibility criteria.",A monthly pension of ₹ 1500/- to the old aged person between the age group of 60 years – 69 years.A monthly pension of ₹ 2000/- to the old aged person between the age group of 70 years + and above.A monthly pension of ₹ 2500/- to the old aged persons having attained the age of 80 years and above.The beneficiary will get a pension as long as he/she is alive.
https://www.myscheme.gov.in/schemes/ignwps,"Indira Gandhi National Widow Pension Scheme (IGNWPS) is implemented by Ministry of Rural Development, Government of India. It is a non-contributory pension scheme to provide social security to widows of poor family (BPL)  of the society.",A pension of Rs.300/- per month is provided to Widows between 40 years and 79 years. For persons who are 80 years and above the pension is Rs.500/- per month.
https://www.myscheme.gov.in/schemes/pmjjby,"Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) is an insurance scheme offering life insurance cover for death due to any reason. It is a one-year cover, renewable from year to year. The scheme is offered by banks/post offices and administered through life insurance companies. All individuals who are account holders of participating banks/ post office in the age group of 18 to 50 years are entitled to join.","PMJJBY offers one- year termlife cover of ₹ 2.00 Lakhto all the subscribers in the age group of 18-50 years.It covers death due to any reason.Premium payable is ₹ 436/- per annumper subscriber, to be auto debited from the subscriber’s bank/post office account."
https://www.myscheme.gov.in/schemes/cmmfi,Detailed,"BenefitsTo increase farmers' income by increasing investment in the sector, quality inputs, and technology.To promote investment in Agri & Allied, and in the small enterprise sectors.To promote credit discipline and encourage the Banking Sector to support Agricultural and small enterprise sectors in the State.To improve the agri-marketing network and infrastructure in the State.To promote private enterprise."
https://www.myscheme.gov.in/schemes/abvky,The scheme “Atal Beemit Vyakti Kalyan Yojana (ABVKY)” was introduced by the Employees’ State Insurance Corporation (ESIC) on a pilot basis for a period of 2 years w.e.f. 01.07.2018 for providing relief to the Insured Persons (IPs) who have become unemployed. Under this scheme relief in the form of cash compensation to the extent of 50% of the average per day earnings was paid up to a maximum of 90 days of unemployment subject to conditions that the employee should have completed two years of Insurable employment and has contributed not less than Seventy-Eight (78) days in each of the three consecutive contribution periods immediately preceding to the claim of the relief.,The scheme provides relief to the extent of 50% of the average per day earnings of employees during their last employment.The relief amount to be paid up to a maximum of 90 days of unemployment (once in a lifetime) subject to conditions that the employee should have completed two years of Insurable employment and has contributed not less than Seventy-Eight (78) days in each of the three consecutive contribution periods.The IP will be eligible for Medical benefits as provided under the Act for the period he is availing this relief.Note 01:The Insured Person should have been in insurable employment for a minimum period of two years immediately before his/her unemployment and should have contributed for not less than 78 days in the contribution period immediately preceding the unemployment and a minimum of 78 days in one of the remaining three contribution periods in two years prior to unemployment.Note 02:Claim shall become due 30 days after the date of unemployment. Earlier this period was 90 days.
https://www.myscheme.gov.in/schemes/sslgiangiaimuif,"""Scheme for Soft Loan to the Grant-in-aid/ Non-grant in Aid Institutions for Maintenance and Upgradation of Infrastructure Facilities"" is a Loan Scheme by the Directorate of Higher Education, Government of Goa. The objective of the scheme is to support the efforts of the management of the Non-Government aided institutions/non-grant-in-aid institutions for the upgradation and maintenance of infrastructural facilities for promoting a conducive atmosphere for learning.","As Goa Education Development Corporation is a Grant in Aid Corporation, Soft loan beneficiaries are assisted by taking loans from Economic Development Corporation and further disbursing it as below:﻿50% of the Loan AmountReleased immediately on the issue of sanction order by the Directorate of Higher Education.﻿40% of the Loan AmountReleased on the production of a certificate from a Government Registered Engineer duly signed by a Chartered Accountant and College Principal/Head of Institution; to the effect that the first instalment of 50% has been fully utilized for the purpose for which it was granted.﻿10% of the Loan AmountReleased subject to the following three conditions:a)  Production of a certificate from a Government Registered Engineer duly signed by a Chartered Accountant and College Principal/Head of Institution; to the effect that 40% of the loan amount has been fully utilized for the purpose for which it was granted.b)  The project is completed and a completion certificate for that effect is produced by the Management.c)  The occupancy certificate is issued by a competent authority to the satisfaction of the Directorate of Higher Education."
https://www.myscheme.gov.in/schemes/pmegp,"Launched in August 2008, Prime Minister's Employment Generation Programme (PMEGP) is a credit-linked subsidy scheme, administered by the Ministry of Micro, Small and Medium Enterprises (MSME). PMEGP aims to generate employment opportunities through the establishment of micro-enterprises in the non-farm sector for rural as well as urban areas. The scheme has been approved for continuation over the 15th Finance Commission cycle i.e., for the period of five years from 2021-22 to 2025-26. PMEGP was formed by merging the two schemes that were in operation till 31st March 2008, namely Prime Minister's Rojgar Yojana (PMRY) and Rural Employment Generation Programme (REGP). An outlay of ₹13,554.42 Crore has been approved for PMEGP for five Financial Years (2021-22 to 2025-26) to set up about 4,00,000 projects with the creation of 30,00,000 employment @8 persons per unit). In addition, 1,000 Units will be upgraded in each FY.","Funds under PMEGP Scheme will be available under two major heads:1.  Margin Money Subsidya) Funds will be allocated under annual Budget Estimates toward disbursement of Margin Money (subsidy) for setting up new micro-enterprises/units; andb) From the funds allocated under BE for the Margin Money subsidy, ₹ 100 Crores or as approved by the competent authority will be earmarked for each FY towards disbursement of Margin Money (subsidy) for the upgradation of existing PMEGP/REGP/MUDRA units.2.  Backward and Forward Linkages5% of the total allocation under BE for a Financial Year against PMEGP, or as approved by the competent authority, shall be earmarked as funds under Backward and Forward Linkages and will be utilized for arranging awareness camps, State/District level monitoring meetings, Workshops, Exhibitions, Bankers meetings, TNDA, Publicity, Entrepreneurship Development Programme (EDP) training, Physical verification & Geo-tagging, Evaluation & impacts Assessment study, Setting of Entrepreneurship Facilitation Centre (EFC), Center of Excellence (CoE), Engagement of Field Experts and Data Entry Operators (DEOs), Creation and Upgradation of IT infrastructure, Awards, Call Centre facility, PMU, and other related activities and settlement of other residual liabilities by the KVIC.Levels of support under PMEGP1.  For setting up new micro-enterprise (units)a) Categories of beneficiaries under PMEGP (for setting up of new enterprises): General CategoryBeneficiary's contribution (of project cost): 10% Rate of Subsidy (of project cost): 15% for Urban Areas, 25% for Rural Areas.b) Categories of beneficiaries under PMEGP (for setting up of new enterprises): Special Category (including SC, ST, OBC, Minorities, Women, Ex-Servicemen, Transgenders, Differently abled, NER, Aspirational Districts, Hill and Border areas(as notified by the Government), etc.(i) Beneficiary's contribution (of project cost): 05%(ii) Rate of Subsidy (of project cost): 25% for Urban Areas, 35% for Rural Areas.Note:The maximum cost of the project/unit admissible for Margin Money subsidy under the Manufacturing sector is ₹50,00,000.The maximum cost of the project/unit admissible for the Margin Money subsidy under the Business/Service sector is ₹20,00,000.The balance amount (excluding the own contribution)of the total project cost will be provided by Banks.If the total project cost exceeds ₹50,00,000 or ₹20,00,000 for Manufacturing and Service/Business sector respectively, the balance amount may be provided by Banks without any Government subsidy.2.  2ndLoan for Upgradation of Existing PMEGP / REGP / MUDRA Unitsa) Categories of beneficiaries under PMEGP (for upgradation of existing units): All Categoriesb) Beneficiary's contribution (of project cost): 10%c) Rate of Subsidy (of project cost): 15% (20% in NER and Hill States).Note:1) The maximum cost of the project/unit admissible for Margin Money subsidy under the Manufacturing sector for upgradation is ₹10,00,00,000. The maximum subsidy would be ₹15,00,000 (₹20,00,000 for NER and Hill States).2) The maximum cost of the project/unit admissible for Margin Money subsidy under the Business/Service sector for upgradation is ₹25,00,000. The maximum subsidy would be ₹3,75,000 (₹5,00,000 for NER and Hill States).3) The balance amount (excluding the own contribution)of the total project cost will be provided by Banks.4) If the total project cost exceeds ₹10,00,00,000 or ₹25,00,000 for Manufacturing and Service/Business sector respectively, the balance amount may be provided by banks without any Government subsidy."
https://www.myscheme.gov.in/schemes/js-esdcv,"The scheme “Jeevanam Self-Employment Scheme to Dependents of Crime Victims” was launched by the Department of Social Justice, Government of Kerala. As part of strengthening the victim support services in the State, the Government of Kerala has started this scheme which provides financial aid to dependents as well as victims of crime. The assistance would benefit those who were struggling to make a living, including dependents of the victims of the crime and those with serious injuries.","Under the scheme, financial assistance of ₹20,000/- will be provided as one-time assistance to the eligible beneficiary.Note:The amount will be transferred to the respective applicant’s bank account."
https://www.myscheme.gov.in/schemes/rsdarc,"The scheme ""Reimbursement of Stamp Duty and Registration Charges"" by the Micro Small and Medium Enterprises Department, Government of Tamil Nadu, is introduced with the objective of reducing the stamp duty and registration charges incurred by MSEs investing in backward blocks, i.e. the charges paid to the Registration department on the purchase of land meant for industrial use.",50% reimbursement of stamp duty and Registration charges paid to the Registration department on the purchase of land meant for industrial use.
https://www.myscheme.gov.in/schemes/peaceifiear,"""Promotion of Energy Audit and Conservation of Energy (PEACE)"" is a scheme by the Micro Small and Medium Enterprises Department, Government of Tamil Nadu. The scheme comprises four main components: Awareness Programme; Training Programme; Detailed Energy Audit; and Implementation of Energy Audit Recommendations. The ""Incentive for lmplementing Energy Audit Recommendations"" component of this scheme is introduced to incentivise MSMEs to implement the recommendations of the Energy Audit Report and to optimize energy consumption leading to energy saving and money savings in electricity bills.","50% of the cost of eligible components, subject to a maximum limit of ₹ 10,00,000/ -.Investments made after the energy audit alone will be eligible for the subsidy.*The overall ceiling on subsidy should not be applied for the original energy audit and subsequent energy audit taken together but should be applied separately for the original energy audit and the subsequent energy audit.﻿Time of DisbursalThe subsidy will be released to the MSME after the implementation of the recommendations in the Energy Audit Report that is duly certified by the energy auditor.*If the unit has availed a loan for the implementation of the recommendations of the energy audit, the subsidy will be released to the bank to adjust in the loan account if the loan is in currency.﻿"
https://www.myscheme.gov.in/schemes/plisaaci,The government of India has approved the scheme “Production Linked Incentive Scheme for Automobile and Auto Components Industry” in India to enhance India’s Manufacturing Capabilities for Advanced Automotive Products.,"The approved applicants will be entitled to receive incentives (% benefit) subject to meeting other conditions of the scheme:1. Incentive Slabs for Champion OEM and New Non-Automotive (OEM) Investor company:Determined Sales Value (in ₹ Crore)Incentives (%age of Determined Sales Value)<= 2,00013%> 2,000 to 3,00014%> 3,000 to 4,00015%> 4,00016%Cumulative Determined Sales Value of ₹10,000 Crore over 5 yearsAdditional 2%2. Incentive slab for Component Champion and New Non-Automotive (Component) Investor Company:Determined Sales Value (in ₹ Crore)Incentives (%age of Determined Sales Value)<= 2508%*> 250 to 5009%*> 500 to 75010%*> 75011%*Cumulative Determined Sales Value of ₹1,250 Crore over 5 years.Additional 2%Battery Electric vehicles & Hydrogen fuel cell vehicles componentsAdditional 5%*Multiplied by a factor of 0.9 in the fifth year for eligible sales relating to Internal Combustion Engine (ICE) vehicle components."
https://www.myscheme.gov.in/schemes/aksmsy,The Asangathit Karmakaar Silai Machine Sahayata Yojana (Unorganized Workers Sewing Machine Assistance Scheme) is a government scheme in Chhattisgarh State that provides sewing machines. The objective of this scheme is to promote unorganized workers in their businesses and make them self-reliant.,"Under the scheme, sewing machines will be supplied every year to the registered unorganized women workers of the state."
https://www.myscheme.gov.in/schemes/big,"The “Biotechnology Ignition Grant Scheme (BIG)” is a flagship scheme of the Biotechnology Industry Research Assistance Council (BIRAC), (a not-for-profit Section 8, Schedule B, Public Sector Enterprise, set up by the Department of Biotechnology (DBT), Government of India), which recognizes and invests in innovative ideas in the biotech sector. The ideas should have clear potential to translate into commercial products/technologies. BIG supports individual entrepreneurs/ start-ups from ideation to Proof of Concept (PoC).","Support provided to grantees under the scheme:1. Under the BIG scheme, BIRAC provides a grant-in-aid of up to INR 50 lakhs (approx. USD 75,000) for a period of 18 months.2. BIG Partners and BIRAC provide continuous mentoring support to the grantees, including but not limited to the following:• Technical Mentoring (Connect with Technical Experts)• IP Support• Legal Support• Networking and Outreach• Trainings• Regulatory Advice• Business Mentoring• Connect with Investors• Any other assistance on a case basis"
https://www.myscheme.gov.in/schemes/adow,Details,"BenefitsThe beneficiary will keep the commodities allotted by the Department in case of AAMAR DUKAN on wheels in addition to other commodities.The selected beneficiaries of AAMAR DUKAN on wheels is allowed to take a profit margin of Rs. 2.00 to Rs. 3.00 per Kg./Per litre from consumers.The selected beneficiaries must abide by the direction of the Director, FCS&CA, Deputy Commissioners/Sub-Divisional Officers/Principal Secretaries of all Autonomous Councils. Any lapse on their part will be viewed seriously and legal action may be initiated also they will have to return the financial aid in addition to interest to the authority.The beneficiary should operate his shop as per the schedule specified by the authority. Any lapses in this regard will amount to the cancellation of his licence.The area of operation will be specified by the local authority for each beneficiary.The AAMAR DUKAN holders on wheels must display the displaying board of prices while distributing commodities.The AAMAR DUKAN holders on wheels will lift commodities from the selected wholesalers/stockists as per the direction of the respective Deputy Commissioners/Sub-Divisional Officers/Principal Secretaries of all Autonomous Councils.The beneficiary should operate his shop as per the schedule specified by the authority. Any lapses in this regard will amount to the cancellation of his licence.The AAMAR DUKAN on wheels should maintain the stock book and distribution register for inspecting authority.﻿"
https://www.myscheme.gov.in/schemes/asha,The Government of Kerala has initiated the scheme “Assistance Scheme for Handicraft Artisans (ASHA)” to provide financial assistance in the form of grants to the artisans in the handicrafts sector for setting up handicraft enterprises. The assistance is a one-time support to eligible artisans of the state as back-end assistance. The Scheme aims to replace the existing scheme and bring the artisans in the handicrafts sector under the ambit of a single scheme for availing financial assistance in the form of grant assistance for setting up handicraft enterprises.,"Provides assistance for the Fixed Capital Investment, i.e. construction of Work shed/Workshop, cost of tools, equipment, machinery and accessories, electrification, Technology support/product/Design development.For General Category artisans, assistance is 40% of the Fixed Capital Investment limited to ₹2.00 lakh.For Young (18 to 45 years), Women, and SC/ST artisans, the assistance is 50% limited to ₹3.00 lakh.Note:The assistance under the ‘ASHA’ shall be released to the eligible artisan in one installment."
https://www.myscheme.gov.in/schemes/etsy,"Labor Department of Chhattisgarh State started this scheme ""E-Thela Sahaayata Yojana"" for unorganized worker on 19 June 2017. The main objective of the scheme to empower unorganized worker by providing financial assistance for e-thela.","Registered unorganized labor individuals will need to cover the expenses of ₹ 10,000 for scheme execution.A grant of ₹ 30,000/- will be provided by the Chhattisgarh Unorganized Worker State Social Security Board.The remaining sum will be extended to the Rikshaw/Auto Driver as a bank loan, with the beneficiary responsible for repaying it within a specified timeframe and at the interest rate determined by the bank.The Board will only transfer its contribution to the beneficiary's account once all the necessary loan-related documents are submitted to the board."
https://www.myscheme.gov.in/schemes/pmkvy-stt,"STT component imparted at PMKVY Training Centres (TC) is expected to benefit candidates of Indian nationality who are either school/college dropouts or unemployed. Apart from providing training according to the National Skills Qualification Framework (NSQF), TCs also impart training in soft skills, entrepreneurship, financial and digital literacy. Upon successful completion of assessment, candidates are provided placement assistance by training providers.","Counselling:Online Information / Counselling PlatformThrough Counselling HelplineThrough District-level skill information centreTraining:Digital ContentTraining in Soft Skills, Entrepreneurship, Financial and Digital LiteracyAdditional SupportAccidental InsuranceOne-time incentive to all certified candidatesBoarding and lodging cost supportConveyance costPost Placement StipendAdditional support to PwD candidatesInduction kit and participant handbookYearly incentive to Training ProviderOne-time placement travel costCareer progression supportSpecial Incentive for foreign placementsPost Placement Tracking AllowancePlacementPost Training SupportThe scheme will be compatible with the international standards by provisioning  add-on bridge courses and language courses﻿The scheme will be compatible with the international standards by provisioning  add-on bridge courses and language courses.﻿Note:It is mandatory for the candidates to have an Aadhaar ID during the enrolment process. It is also mandatory for the students to maintain 70% attendance to be eligible to appear in the assessments﻿"
